ID,1584985
IA,3062309
AL,4802740
AK,722718
AZ,6482505
AR,2937979
WY,568158
WA,6830038
VT,626431
VA,8096604
WI,5711767
HI,1374810
DE,907135
GA,9815210
WV,1855364
IL,12869257
IN,6516922
CA,37691912
KS,2871238
KY,4369356
CO,5116769
CT,3580709
LA,4574836
MA,6587536
MN,5344861
MS,2978512
MO,6010688
MI,9876187
MT,998199
ME,1328188
MD,5828289
NE,1842641
NV,2723322
NH,1318194
NJ,8821155
NY,19465197
NM,2082244
OH,11544951
OK,3791508
OR,3871859
PA,12742886
RI,1051302
ND,683932
NC,9656401
TN,6403353
TX,25674681
FL,19057542
SD,824082
SC,4679230
UT,2817222
PR,3687000
DC,627427
